pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162.793509,475.115387,165.369401,471.930531,NaN,NaN,NaN,NaN
163.779285,475.615309,165.970708,472.146764,NaN,NaN,NaN,NaN
164.916720,475.915263,166.626680,472.146764,NaN,NaN,NaN,NaN
165.220036,475.715294,167.063994,472.362998,NaN,NaN,NaN,NaN
166.129983,476.115232,167.665301,472.362998,NaN,NaN,NaN,NaN
166.357470,476.015247,167.938623,472.435075,NaN,NaN,NaN,NaN
166.812443,476.315201,168.375937,472.435075,NaN,NaN,NaN,NaN
167.494904,476.415185,169.141237,472.795464,NaN,NaN,NaN,NaN
168.177365,476.415185,169.633216,472.795464,NaN,NaN,NaN,NaN
168.632338,476.215216,169.687880,472.867542,NaN,NaN,NaN,NaN
169.390628,476.315201,170.398516,472.651309,NaN,NaN,NaN,NaN
170.148917,476.415185,170.781166,472.362998,NaN,NaN,NaN,NaN
171.134694,476.415185,171.437138,472.723386,NaN,NaN,NaN,NaN
171.892983,476.415185,171.765124,472.723386,NaN,NaN,NaN,NaN
172.196299,476.415185,172.585088,472.723386,NaN,NaN,NaN,NaN
173.712878,476.215216,172.639753,472.723386,NaN,NaN,NaN,NaN
174.850312,475.715294,172.803746,472.939620,NaN,NaN,NaN,NaN
175.381115,475.815278,173.241060,472.939620,NaN,NaN,NaN,NaN
175.911917,475.715294,173.733039,473.155853,NaN,NaN,NaN,NaN
176.215233,475.415340,174.115689,473.300009,NaN,NaN,NaN,NaN
176.518549,475.415340,174.225017,473.516242,NaN,NaN,NaN,NaN
177.201009,475.615309,174.880989,473.588320,NaN,NaN,NaN,NaN
177.959299,475.515325,175.536961,473.660398,NaN,NaN,NaN,NaN
178.793417,475.115387,176.302261,474.237020,NaN,NaN,NaN,NaN
179.855023,475.315356,176.739575,474.597409,NaN,NaN,NaN,NaN
180.385825,474.915418,177.395547,474.813642,NaN,NaN,NaN,NaN
180.764970,474.815433,177.887526,474.957798,NaN,NaN,NaN,NaN
181.371602,473.715604,178.707490,475.101953,NaN,NaN,NaN,NaN
181.599089,473.615620,179.254133,475.174031,NaN,NaN,NaN,NaN
182.433207,473.015713,179.910105,475.390264,NaN,NaN,NaN,NaN
182.736523,473.115697,180.238090,475.246109,NaN,NaN,NaN,NaN
182.964010,473.315666,180.456748,475.606498,NaN,NaN,NaN,NaN
183.494812,473.315666,180.853728,476.050544,NaN,NaN,NaN,NaN
183.798128,473.015713,181.717296,476.269518,NaN,NaN,NaN,NaN
183.722299,472.915728,182.448008,476.400902,NaN,NaN,NaN,NaN
184.253102,472.815744,183.079077,476.313312,NaN,NaN,NaN,NaN
184.101444,472.715759,183.510861,476.532286,NaN,NaN,NaN,NaN
184.328931,472.815744,184.042288,476.795053,NaN,NaN,NaN,NaN
184.328931,472.615775,184.706571,476.970232,NaN,NaN,NaN,NaN
184.935562,473.015713,185.437283,477.145411,NaN,NaN,NaN,NaN
185.087220,473.315666,185.802639,477.189205,NaN,NaN,NaN,NaN
185.542194,473.715604,186.566565,477.145411,NaN,NaN,NaN,NaN
185.845510,474.015558,187.729061,477.233000,NaN,NaN,NaN,NaN
185.921339,474.415496,187.795489,477.627152,NaN,NaN,NaN,NaN
186.452141,474.415496,188.393345,477.758536,NaN,NaN,NaN,NaN
186.907115,474.815433,188.924771,477.977509,NaN,NaN,NaN,NaN
187.362089,475.315356,189.356556,478.196482,NaN,NaN,NaN,NaN
187.968720,475.815278,189.721911,478.108893,NaN,NaN,NaN,NaN
188.499523,476.015247,190.386195,478.240277,NaN,NaN,NaN,NaN
188.400000,476.160000,190.718337,478.415455,NaN,NaN,NaN,NaN
189.106154,477.015092,191.415834,478.722018,NaN,NaN,NaN,NaN
189.636957,477.614999,191.980475,478.984786,NaN,NaN,NaN,NaN
190.091931,477.814968,192.511902,479.291348,NaN,NaN,NaN,NaN
190.926049,478.514860,193.142971,479.422732,NaN,NaN,NaN,NaN
191.153536,479.414720,193.641184,479.641706,NaN,NaN,NaN,NaN
191.381023,479.714674,194.405110,479.992063,NaN,NaN,NaN,NaN
192.063483,480.314581,194.803680,480.079652,NaN,NaN,NaN,NaN
192.594286,480.714519,195.501177,480.211036,NaN,NaN,NaN,NaN
193.352576,481.314426,195.999390,480.254831,NaN,NaN,NaN,NaN
193.580062,481.814348,196.364746,480.298625,NaN,NaN,NaN,NaN
194.186694,482.814193,196.829744,480.780367,NaN,NaN,NaN,NaN
